Index #,Timestamp,Formal section,Gender,Function,Vocal delivery,Environment,Layering,Width
,,,,,,,,
135,5.042789116,Chorus,W,Main,S,E3,L1,W3
,,,,,,,,
135,15.2362585,Verse,M,Feat,S,E3,L1,W3
,,,,,,,,
136,9.553401361,Verse,W,Main,S,E1,L1,W1
,,,,,,,,
136,33.57253968,Chorus,W,Main,S,E1,L3,W5
,,,,,,,,
137,16.95011338,Verse,M,Feat,S,E1,L4,W5
,,,,,,,,
137,67.0576644,Chorus,M,Feat,S,E1,L1,W1
,,,,,,,,
138,12.13680272,Chorus,M,Feat,S,E2,L1,W3
,,,,,,,,
138,39.09845805,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
139,38.0894375,Chorus,W,Main,S,E4,L4,W5
,,,,,,,,
139,48.685,Verse,M,Feat,R,E1,L2,W4
,,,,,,,,
140,10.05679167,Verse,M,Neither,R,E1,L3,W4
,,,,,,,,
140,88.371375,Chorus,W,Neither,S,E1,L5,W5
,,,,,,,,
141,20.6523356,Verse,M,Neither,S,E5,L1,W4
,,,,,,,,
141,68.62253968,Dance Chorus,M,Neither,S,E1,L3,W5
,,,,,,,,
142,10.21181406,Verse,M,Main,R,E1,L2,W3
,,,,,,,,
142,40.42895692,Chorus,M,Main,S,E2,L4,W5
,,,,,,,,
144,10.13258333,Chorus,M,Main,S,E2,L1,W3
,,,,,,,,
144,39.52022917,Verse,M,Main,S,E3,L2,W3
,,,,,,,,
145,11.76845833,Verse,W,Main,S,E4,L1,W4
,,,,,,,,
145,44.07575,Chorus,W,Main,S,E4,L3,W4
,,,,,,,,
146,11.92306122,Verse,W,Feat,S,E3,L1,W3
,,,,,,,,
146,34.12759637,Chorus,W,Feat,S,E1,L3,W5
,,,,,,,,
147,15.11784581,Chorus,M,Feat,S,E1,L4,W5
,,,,,,,,
147,28.2893424,Verse,M,Main,R,E1,L3,W3
,,,,,,,,
148,16.60344671,Chorus,M,Neither,S,E2,L1,W3
,,,,,,,,
148,32.06555556,Verse,M,Neither,R,E1,L4,W5
,,,,,,,,
149,0,Chorus,M,Feat,S,E3,L1,W3
,,,,,,,,
149,23.3299093,Verse,M,Main,S,E3,L3,W5
,,,,,,,,
150,4.6216875,Chorus,M,Main,S,E3,L1,W3
,,,,,,,,
150,22.87885417,Verse,W,Main,S,E3,L1,W3
,,,,,,,,
151,0,Verse,W,Neither,S,E3,L1,W3
,,,,,,,,
151,28.002375,Chorus,W,Neither,S,E1,L5,W5
,,,,,,,,
152,14.66417234,Chorus,M,Main,S,E3,L1,W3
,,,,,,,,
152,46.06975057,Verse,M,Main,S,E3,L1,W3
